,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
52,Wordmaster 워드마스터 수능 2000(18개정),ucation,European War 6: 1914,,RFS - Real Flight Simulator,시뮬레이션,"PLOT - 플롯, 나의 이야기",oto & Video,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,60 Seconds! Atomic Adventure,어드벤처
53,서울 2033 : 후원자,어드벤처,Alien: Blackout,tion,Notability,oductivity,Mr. Pumpkin Adventure HD,rategy,Rusty Lake: Roots KR,venture,미니 메트로,시뮬레이션
54,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,룸즈: 장난감 장인의 저택,퍼즐,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,Worms 4,전략,The White Door,어드벤처
55,Analog Beijing,oto & Video,NewBorder - 뉴보더 여백의 미,oto & Video,Hidden Through Time,,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성
56,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,길고양이 이야기 : support edition,어드벤처,Wordmaster 워드마스터 수능 2000(18개정),ucation,Kingdom Two Crowns,,NeuralCam - Night Mode Camera,,Marvis Pro,sic
57,위젯 캘린더,festyle,위젯 캘린더,festyle,Streaks,alth & Fitness,Getting Over It with Bennett Foddy,시뮬레이션,Puffin Browser Pro,커뮤니케이션,한국사 능력,ucation
58,위플 가계부,nance,Tank Hero,아케이드,Analog Acoustic,oto & Video,Analog Portland,oto & Video,Analog London,oto & Video,kirakira+,oto & Video
59,Streaks,alth & Fitness,Analog Acoustic,oto & Video,Beholder,어드벤처,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",oductivity,던전 서바이벌,롤플레잉,Analog London,oto & Video
60,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,Alto s Odyssey,액션,Analog Beijing,oto & Video,삼국지 한말패업,전략,Draw Chilly,,Song of Bloom,
61,ilSang Pro,oto & Video,투넘버 문자,festyle,Euclidean Skies,venture,Streaks,alth & Fitness,미루,,킹덤 러쉬 벤전스 (Kingdom Rush Vengeance),전략
62,Rummikub,보드,Doodle Jump,아케이드,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,Analog Seoul,oto & Video,Analog Budapest,oto & Video
63,미니 메트로,시뮬레이션,Incredibox,음악,Puffin Browser Pro,커뮤니케이션,Rummikub,보드,Getting Over It with Bennett Foddy,시뮬레이션,삼국지 한말패업,전략
64,Doodle Jump,아케이드,데이그램 - 하루 한줄 일기장,라이프스타일,BFT - Bear Focus Timer,ilities,Alook 브라우저 - 2 배속,ilities,던전메이커,전략,미루,
65,Rusty Lake: Roots KR,venture,Analog Portland,oto & Video,ilSang Pro,oto & Video,CAMERA0 - 무음 고화질 매너 카메라 앱,,Splendor,보드,FILCA - SLR 필름 카메라,oto & Video
66,FEELT,oto & Video,Notability,oductivity,서울 2033 : 후원자,어드벤처,"Peace, Death!",아케이드,마녀의 샘4,롤플레잉,Splendor,보드
67,오투잼 - 뮤직 & 게임,,Vector for iPhone,cade,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,FINAL FANTASY VI,롤플레잉,Dead Cells,,SOVS - 촬영부탁 필수앱,사진
68,NewBorder - 뉴보더 여백의 미,oto & Video,Human: Fall Flat,퍼즐,Rusty Lake Hotel KR,venture,LumaFusion,oto & Video,TouchRetouch,사진,The Almost Gone,
