,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
10,리니지M(12),카카오페이지 KakaoPage,리니지M(12),네이버 웹툰 - Naver Webtoon,카카오페이지 KakaoPage,모두의마블,페이트/그랜드 오더,YouTube,블레이드&소울 레볼루션,기적의 검,카카오페이지 KakaoPage,YouTube
11,Minecraft,Minecraft,Plague Inc. (전염병 주식회사),Stardew Valley,Stardew Valley,Stardew Valley,카카오페이지 KakaoPage,라이즈 오브 킹덤즈,라이즈 오브 킹덤즈,리니지2 레볼루션,블레이드&소울 레볼루션,카카오페이지 KakaoPage
12,카카오뱅크 - 같지만 다른 은행,카카오뱅크 - 같지만 다른 은행,카카오뱅크 - 같지만 다른 은행,Gentle Sniper,국세청 홈택스,토스,네이버 웹툰 - Naver Webtoon,모두의마블,검은사막 모바일,네이버 웹툰 - Naver Webtoon,메이플스토리M,블레이드&소울 레볼루션
13,브롤스타즈,모두의마블,카카오페이지 KakaoPage,카카오톡 KakaoTalk,YouTube,궁수의 전설,킹 오브 파이터 올스타,리니지M(12),카카오페이지 KakaoPage,카카오페이지 KakaoPage,라플라스M,A3: 스틸얼라이브
14,Getting Over It with Bennett Foddy,Analog Seoul,Minecraft,에버테일,Forest: 집중하기,독재자 죽이기 ( Kill The Dictator ),YouTube,브롤스타즈,리니지2 레볼루션,YouTube,랜덤 다이스(Random Dice) : PvP 디펜스,배틀그라운드
15,배달요기요,Color Bump 3D,손오공디펜스,카카오뱅크 - 같지만 다른 은행,카카오뱅크 - 같지만 다른 은행,그립(GRIP) - 라이브 쇼핑,메이플스토리M,쿠키런: 오븐브레이크,네이버 웹툰 - Naver Webtoon,랜덤 다이스(Random Dice) : PvP 디펜스,쿠키런: 오븐브레이크,뮤 아크엔젤
16,네이버 웹툰 - Naver Webtoon,네이버 웹툰 - Naver Webtoon,카카오톡 KakaoTalk,왕이되는자,네이버 웹툰 - Naver Webtoon,FIFA ONLINE 4 M by EA SPORTS™,검은사막 모바일,블레이드&소울 레볼루션,wavve(웨이브) - 재미의 파도를 타다!,배틀그라운드,리니지2 레볼루션,SERIES - 네이버 시리즈
17,Football Manager 2019 Mobile,Hidden Folks,Football Manager 2019 Mobile,Analog Budapest,Minecraft,Plague Inc. (전염병 주식회사),라플라스M,랜덤 다이스(Random Dice) : PvP 디펜스,모두의마블,스푼 라디오 - Be A LIVE,기적의 검,랜덤 다이스(Random Dice) : PvP 디펜스
18,Dodge Colors,쿠팡 (Coupang),진정한 미러 Truth Mirror!,열혈 삼국지-창의적인  방치형 캐주얼 모바일 게임,Space Big Bang,프린세스 커넥트! Re:Dive,쿠키런: 오븐브레이크,라플라스M,쿠키런: 오븐브레이크,블레스 모바일,검은사막 모바일,라이즈 오브 킹덤즈
19,SERIES - 네이버 시리즈,메이플스토리M,오크: 종족의 계승자,FIFA ONLINE 4 M by EA SPORTS™,황제라 칭하라,YouTube,일곱 개의 대죄: GRAND CROSS,검은사막 모바일,왓챠플레이,검은사막 모바일,wavve(웨이브) - 재미의 파도를 타다!,기적의 검
